,predictions
0,11.17780083407337
1,16.807264200135094
2,12.753655899745636
3,15.775087755382371
4,15.615073367196317
5,14.548470671913195
6,14.541050917933976
7,14.134059932588952
8,13.118531457309022
9,10.626379965613763
10,14.222390848997893
11,11.04432042219245
12,15.084445573562299
13,18.697575909744064
14,14.0755390258211
15,16.56169925490514
16,7.915642838656083
17,11.854585208200492
18,9.072807148871533
19,8.843186109630507
20,9.650743971883449
21,10.714710601973145
22,10.999292652349743
23,13.823635355630802
24,16.714117044162304
25,10.893820314760431
26,9.651632824336385
27,10.411079233218782
28,9.437626980994235
29,12.773793792094413
30,7.913948805193631
31,17.54575739899464
32,11.573175183411845
33,16.56946394390482
34,12.433308633973338
35,10.546379461959713
36,13.964181976344177
37,10.231323262414133
38,10.085905091614345
39,12.687763031324577
40,10.286801996279795
41,13.395462406260478
42,16.773266805116712
43,11.411561120478744
44,8.619299916746426
45,13.07714350137312
46,14.292465294005595
47,9.926557007513747
48,13.01125432602638
49,14.417507057259188
50,13.297159403170774
51,16.232394916285077
52,14.292635102132701
53,15.62875556280177
54,12.620299251406049
55,11.547775758126813
56,13.102036907412735
57,12.396047413723066
58,11.028423493653593
59,7.329546622303594
60,12.154281850634193
61,12.865897304841656
62,12.895802931851573
63,18.737908812954867
64,8.49105998410904
65,18.200345495887607
66,15.816922474776348
67,11.912634007562142
68,9.588289408560632
69,12.624347161788535
70,7.270775070335031
71,10.474334829422968
72,14.967063498996927
73,9.161491255990871
74,14.682339571499204
75,14.25381750794607
76,17.116091812463143
77,12.04277592412961
78,14.034792474532
79,14.033795643869537
80,17.519335264815382
81,10.858964495127807
82,10.540195086522074
83,15.052143048626965
84,12.737467799093595
85,11.623562301076035
86,12.298284591649534
87,8.352624227818447
88,14.955711446492394
89,12.20162231579901
90,12.55926616341637
91,11.280270236128516
92,13.638271524024562
93,10.66461690278131
94,10.183503939660861
95,10.943333933273292
96,9.178303515804837
97,12.364355666024526
98,9.931174920956355
99,13.043799330861505
100,9.876642274031212
101,8.907043068679092
102,13.128870933603737
103,13.562108223688101
104,17.549935571237047
105,9.876642274031212
106,15.878325746186377
107,13.52790009760126
108,9.53138780780012
109,16.828513712674745
110,13.675148883257716
111,11.14440203063341
112,13.808766754449172
113,13.026217980101144
114,8.099446732822164
115,10.01787631046715
116,9.928300252646258
117,15.736765163390006
118,12.169586270373255
119,12.169586270373255
120,14.706384844989762
121,12.188015635112523
122,13.5734082303285
123,14.902404072352077
124,9.93098410530877
125,20.123613510720876
126,13.261559313366044
127,8.937807609083597
128,12.354969840611039
129,10.30002435520849
130,15.187258850567225
131,12.45552506665607
132,18.436897074012357
133,8.661424332610942
134,11.91649671612743
135,15.016943207033918
136,9.889821254105746
137,13.629029623804582
138,11.59664983294148
139,9.626241232650003
140,11.666976166759293
141,9.306714399748579
142,14.200378119239632
143,12.268274817333875
144,11.508229275571436
145,10.939679260826717
146,21.648474275787216
147,8.070021959330989
148,10.511684473754064
149,13.651964959941232
150,9.2416832515094
151,20.924935396943255
152,12.486481915683427
153,13.581711084930104
154,18.77048592050971
155,16.383546574998483
156,11.325588503043925
157,12.09410921254906
158,13.233639958012319
159,9.615663544947385
160,12.176122864903215
161,9.796800895390628
162,11.798313284186978
163,12.038638433073746
164,17.381574305713233
165,13.459062593131645
166,9.576790895286381
167,14.13037904120707
168,13.977093232810459
169,10.182116695002456
170,14.541425684473207
171,21.631669275089962
172,12.77701410204827
173,14.533121143519825
174,9.888970314906341
175,15.557881569885994
176,10.787080823780395
177,9.429306455942
178,12.537075197862366
179,14.329350400996384
180,20.086848233983424
181,15.55293582451035
182,16.148719145339896
183,14.82614376744994
184,13.426715577322584
185,11.737370926454021
186,15.522483877022287
187,16.253282782601346
188,11.439372863673468
189,10.300696685175081
190,12.067075998298115
191,13.469175164718893
192,14.670571048034676
193,7.592701892290835
194,9.981986369648322
195,11.59253074903567
196,10.127095288711468
197,14.82614376744994
198,12.669644413970753
199,13.33846072019386
200,10.52631142222063
201,10.560375553427516
202,9.772852739267586
203,16.63853666779933
204,11.42944969906415
205,17.58269686162894
206,13.147247390091955
207,16.18100700864186
208,11.59895039584746
209,13.302819899318918
210,14.996069469599316
211,12.981283943863401
212,16.148719145339896
213,11.516195465326748
214,11.127049262072774
215,13.042827381946971
216,13.193125426441721
217,12.46662616136196
218,12.758532474651963
219,12.57021139093335
220,16.008918363881907
221,12.735540677756433
222,13.269113024178667
223,12.96068795392338
224,12.5090873638362
225,16.854432373921707
226,9.699344583177805
227,19.22817729187463
228,14.279041082970425
229,17.82836878735414
230,13.57076708506842
231,14.790027854517792
232,14.684556719215113
233,14.33553053306342
234,11.09908525651147
235,12.887356087148142
236,7.01404303584001
237,15.986043882858066
238,9.93904955537351
239,11.609593216414835
240,12.199374509516517
241,13.33828518743485
242,14.123101391959409
243,10.748807554188234
244,11.539069823010248
245,14.150018261038403
246,15.774250840006792
247,14.301473527865529
248,12.271348578885997
249,14.9831182837979
250,8.939629503219063
251,14.104505609341299
252,14.212892851180458
253,8.673201809405837
254,11.124741337680785
255,11.594475008452342
256,9.293214001214508
257,14.224444108655131
258,15.513005940598264
259,13.493491347563397
260,10.494032220023147
261,11.401134252764463
262,11.249303635643681
263,14.978631376520916
264,11.283437305187991
265,15.667889822005334
266,14.113714900435644
267,18.227999815776663
268,13.854963090636947
269,13.71594501333044
270,10.504039975519998
271,10.406775732987347
272,10.763992753787461
273,14.233772036527634
274,10.144794434420717
275,11.286909063758051
276,15.408470114632488
277,15.78157885326173
278,22.336623143408254
279,14.666008183921598
280,14.10904427256709
281,13.970281932339466
282,12.180958190542745
283,13.940280894016137
284,7.747410927530595
285,10.016656179187622
286,15.154597479254164
287,13.508902497914677
288,14.08355778699258
289,9.65834442771816
290,12.253331550203697
291,15.683968721098353
292,17.438529568736328
293,13.111568773340721
294,11.455815120849817
295,9.83182784934041
296,19.57647986393565
297,8.418892497188292
298,11.518615781200307
299,11.579695556282585
300,10.863361155087754
301,11.657103375771483
302,14.348909063615231
303,18.55965346325517
304,15.054407022347625
305,13.484913442360797
306,12.644841851605534
307,24.212567571575477
308,11.574337268966293
309,15.474840423311633
310,11.55469124251932
311,13.17040613844456
312,12.936062180457778
313,12.424261064058106
314,9.928370326126718
315,10.42151932229499
316,16.106434202792258
317,13.80013736705358
318,11.883503911465375
319,10.784891408592758
